Template,V1_Base_Text,V1_Perturb1_Text,V1_Perturb1_Changed,V1_Perturb2_Text,V1_Perturb2_Changed,V2_Base_Text,V2_Perturb1_Text,V2_Perturb1_Changed,V2_Perturb2_Text,V2_Perturb2_Changed,num
"Please cap at {number_of_classes} classes daily, all at least {course_level_minimum}-level.","Please cap at 2 classes daily, all at least 200-level.","Please cap at 1 classes daily, all at least 200-level.",{number_of_classes},"Please cap at 1 classes daily, all at least 300-level.",{number_of_classes};{course_level_minimum},"Please cap at 3 classes daily, all at least 200-level.","Please cap at 1 classes daily, all at least 200-level.",{number_of_classes},"Please cap at 2 classes daily, all at least 300-level.",{number_of_classes};{course_level_minimum},12
"Put my weeklies on {days}, and make them in the {time_of_day}.","Put my weeklies on Tuesday, and make them in the afternoon.","Put my weeklies on Tuesday and Friday, and make them in the afternoon.",{days},"Put my weeklies on Monday, and make them in the morning.",{days};{time_of_day},"Put my weeklies on Friday, and make them in the evening.","Put my weeklies on Tuesday and Thursday, and make them in the evening.",{days},"Put my weeklies on Wednesday and Friday, and make them in the afternoon.",{days};{time_of_day},13
"Classes should fall on {days}, no more than {number_of_classes} per day.","Classes should fall on Tuesday, no more than 2 per day.","Classes should fall on Friday, no more than 2 per day.",{days},"Classes should fall on Monday and Wednesday, no more than 3 per day.",{number_of_classes};{days},"Classes should fall on Monday and Friday, no more than 1 per day.","Classes should fall on Monday and Friday, no more than 3 per day.",{number_of_classes},"Classes should fall on Wednesday and Friday, no more than 2 per day.",{days};{number_of_classes},14
Limit to {days} and ensure courses meet the {course_level_minimum}-level minimum.,Limit to Monday and Friday and ensure courses meet the 400-level minimum.,Limit to Monday and Friday and ensure courses meet the 300-level minimum.,{course_level_minimum},Limit to Monday and ensure courses meet the 200-level minimum.,{days};{course_level_minimum},Limit to Wednesday and Friday and ensure courses meet the 400-level minimum.,Limit to Wednesday and Friday and ensure courses meet the 300-level minimum.,{course_level_minimum},Limit to Friday and ensure courses meet the 300-level minimum.,{course_level_minimum};{days},15
"All sessions should be {time_of_day}, with no more than {number_of_classes} daily.","All sessions should be evening, with no more than 1 daily.","All sessions should be afternoon, with no more than 1 daily.",{time_of_day},"All sessions should be morning, with no more than 2 daily.",{number_of_classes};{time_of_day},"All sessions should be morning, with no more than 1 daily.","All sessions should be morning, with no more than 2 daily.",{number_of_classes},"All sessions should be afternoon, with no more than 2 daily.",{number_of_classes};{time_of_day},16
Use the {time_of_day} and filter for  {course_level_minimum}-level courses.,Use the morning and filter for  200-level courses.,Use the morning and filter for  300-level courses.,{course_level_minimum},Use the evening and filter for  300-level courses.,{course_level_minimum};{time_of_day},Use the afternoon and filter for  300-level courses.,Use the evening and filter for  300-level courses.,{time_of_day},Use the evening and filter for  400-level courses.,{course_level_minimum};{time_of_day},17
"No more than {number_of_classes} classes per day, each  {course_level_minimum}-level.","No more than 3 classes per day, each  400-level.","No more than 3 classes per day, each  300-level.",{course_level_minimum},"No more than 1 classes per day, each  200-level.",{course_level_minimum};{number_of_classes},"No more than 3 classes per day, each  200-level.","No more than 3 classes per day, each  400-level.",{course_level_minimum},"No more than 1 classes per day, each  400-level.",{course_level_minimum};{number_of_classes},18
"I volunteer other days, so I can only attend on {days} in the {time_of_day}.","I volunteer other days, so I can only attend on Wednesday and Thursday in the morning.","I volunteer other days, so I can only attend on Wednesday and Thursday in the evening.",{time_of_day},"I volunteer other days, so I can only attend on Tuesday in the afternoon.",{time_of_day};{days},"I volunteer other days, so I can only attend on Tuesday and Friday in the morning.","I volunteer other days, so I can only attend on Tuesday and Thursday in the morning.",{days},"I volunteer other days, so I can only attend on Tuesday and Thursday in the afternoon.",{days};{time_of_day},19
Stick to {days} and limit daily load to {number_of_classes}.,Stick to Monday and Wednesday and limit daily load to 3.,Stick to Thursday and limit daily load to 3.,{days},Stick to Tuesday and Thursday and limit daily load to 1.,{number_of_classes};{days},Stick to Tuesday and Friday and limit daily load to 2.,Stick to Wednesday and Friday and limit daily load to 2.,{days},Stick to Monday and Wednesday and limit daily load to 3.,{number_of_classes};{days},20
Use {days} only; I want classes at least {course_level_minimum}-level.,Use Tuesday only; I want classes at least 400-level.,Use Friday only; I want classes at least 400-level.,{days},Use Monday only; I want classes at least 300-level.,{days};{course_level_minimum},Use Monday and Friday only; I want classes at least 400-level.,Use Monday and Friday only; I want classes at least 200-level.,{course_level_minimum},Use Tuesday and Thursday only; I want classes at least 300-level.,{days};{course_level_minimum},21
Keep the plan {time_of_day} and limit to {number_of_classes} per day.,Keep the plan afternoon and limit to 2 per day.,Keep the plan afternoon and limit to 3 per day.,{number_of_classes},Keep the plan evening and limit to 3 per day.,{time_of_day};{number_of_classes},Keep the plan afternoon and limit to 3 per day.,Keep the plan evening and limit to 3 per day.,{time_of_day},Keep the plan evening and limit to 1 per day.,{number_of_classes};{time_of_day},22
Schedule everything {time_of_day} with a {course_level_minimum}-level minimum.,Schedule everything morning with a 300-level minimum.,Schedule everything evening with a 300-level minimum.,{time_of_day},Schedule everything afternoon with a 200-level minimum.,{course_level_minimum};{time_of_day},Schedule everything morning with a 200-level minimum.,Schedule everything morning with a 300-level minimum.,{course_level_minimum},Schedule everything afternoon with a 300-level minimum.,{time_of_day};{course_level_minimum},23
Keep daily load  {number_of_classes} and enforce {course_level_minimum}-level minimum.,Keep daily load  3 and enforce 400-level minimum.,Keep daily load  3 and enforce 300-level minimum.,{course_level_minimum},Keep daily load  2 and enforce 200-level minimum.,{course_level_minimum};{number_of_classes},Keep daily load  3 and enforce 400-level minimum.,Keep daily load  1 and enforce 400-level minimum.,{number_of_classes},Keep daily load  1 and enforce 300-level minimum.,{course_level_minimum};{number_of_classes},24
Please arrange classes strictly on {days} and keep them {time_of_day}.,Please arrange classes strictly on Tuesday and Wednesday and keep them afternoon.,Please arrange classes strictly on Monday and keep them afternoon.,{days},Please arrange classes strictly on Monday and Wednesday and keep them morning.,{days};{time_of_day},Please arrange classes strictly on Tuesday and Wednesday and keep them morning.,Please arrange classes strictly on Tuesday and Wednesday and keep them evening.,{time_of_day},Please arrange classes strictly on Tuesday and Thursday and keep them afternoon.,{days};{time_of_day},25
Put everything on {days} and keep it  {number_of_classes} classes a day.,Put everything on Wednesday and Friday and keep it  1 classes a day.,Put everything on Monday and keep it  1 classes a day.,{days},Put everything on Monday and Wednesday and keep it  2 classes a day.,{days};{number_of_classes},Put everything on Monday and keep it  1 classes a day.,Put everything on Thursday and keep it  1 classes a day.,{days},Put everything on Thursday and keep it  3 classes a day.,{number_of_classes};{days},26
Keep everything on {days} and filter for {course_level_minimum}-level or above.,Keep everything on Wednesday and Thursday and filter for 300-level or above.,Keep everything on Wednesday and Thursday and filter for 200-level or above.,{course_level_minimum},Keep everything on Monday and Wednesday and filter for 200-level or above.,{course_level_minimum};{days},Keep everything on Tuesday and Friday and filter for 400-level or above.,Keep everything on Tuesday and Friday and filter for 300-level or above.,{course_level_minimum},Keep everything on Monday and Wednesday and filter for 200-level or above.,{days};{course_level_minimum},27
Make everything {time_of_day} and keep daily classes  {number_of_classes}.,Make everything evening and keep daily classes  2.,Make everything afternoon and keep daily classes  2.,{time_of_day},Make everything afternoon and keep daily classes  1.,{time_of_day};{number_of_classes},Make everything morning and keep daily classes  3.,Make everything morning and keep daily classes  1.,{number_of_classes},Make everything evening and keep daily classes  1.,{number_of_classes};{time_of_day},28
Make it {time_of_day} and only {course_level_minimum}-level or higher.,Make it morning and only 200-level or higher.,Make it morning and only 400-level or higher.,{course_level_minimum},Make it afternoon and only 400-level or higher.,{time_of_day};{course_level_minimum},Make it afternoon and only 400-level or higher.,Make it evening and only 400-level or higher.,{time_of_day},Make it morning and only 200-level or higher.,{time_of_day};{course_level_minimum},29
"Max {number_of_classes} per day, and only {course_level_minimum}-level or above.","Max 2 per day, and only 200-level or above.","Max 1 per day, and only 200-level or above.",{number_of_classes},"Max 3 per day, and only 400-level or above.",{number_of_classes};{course_level_minimum},"Max 1 per day, and only 400-level or above.","Max 1 per day, and only 300-level or above.",{course_level_minimum},"Max 3 per day, and only 200-level or above.",{course_level_minimum};{number_of_classes},30
"For childcare reasons, I'm available {time_of_day} on {days} only.","For childcare reasons, I'm available morning on Tuesday and Friday only.","For childcare reasons, I'm available evening on Tuesday and Friday only.",{time_of_day},"For childcare reasons, I'm available afternoon on Friday only.",{days};{time_of_day},"For childcare reasons, I'm available morning on Monday and Wednesday only.","For childcare reasons, I'm available afternoon on Monday and Wednesday only.",{time_of_day},"For childcare reasons, I'm available evening on Tuesday and Wednesday only.",{time_of_day};{days},31
I commute far; use {days} and cap daily classes at {number_of_classes}.,I commute far; use Thursday and cap daily classes at 3.,I commute far; use Monday and Wednesday and cap daily classes at 3.,{days},I commute far; use Friday and cap daily classes at 1.,{number_of_classes};{days},I commute far; use Tuesday and Thursday and cap daily classes at 3.,I commute far; use Tuesday and Thursday and cap daily classes at 2.,{number_of_classes},I commute far; use Monday and Friday and cap daily classes at 2.,{number_of_classes};{days},32
I'm targeting advanced material; {days} and  {course_level_minimum}-level.,I'm targeting advanced material; Wednesday and Thursday and  400-level.,I'm targeting advanced material; Wednesday and Thursday and  200-level.,{course_level_minimum},I'm targeting advanced material; Thursday and  300-level.,{days};{course_level_minimum},I'm targeting advanced material; Wednesday and Friday and  300-level.,I'm targeting advanced material; Tuesday and Wednesday and  300-level.,{days},I'm targeting advanced material; Friday and  200-level.,{days};{course_level_minimum},33
I can focus best {time_of_day}; don't exceed {number_of_classes} in a day.,I can focus best morning; don't exceed 2 in a day.,I can focus best evening; don't exceed 2 in a day.,{time_of_day},I can focus best evening; don't exceed 1 in a day.,{number_of_classes};{time_of_day},I can focus best evening; don't exceed 1 in a day.,I can focus best morning; don't exceed 1 in a day.,{time_of_day},I can focus best morning; don't exceed 2 in a day.,{time_of_day};{number_of_classes},34
Stick with the {time_of_day} window and ensure  {course_level_minimum}-level.,Stick with the evening window and ensure  200-level.,Stick with the morning window and ensure  200-level.,{time_of_day},Stick with the morning window and ensure  300-level.,{course_level_minimum};{time_of_day},Stick with the evening window and ensure  300-level.,Stick with the morning window and ensure  300-level.,{time_of_day},Stick with the afternoon window and ensure  200-level.,{time_of_day};{course_level_minimum},35
"I want rigor; {number_of_classes} per day, {course_level_minimum}-level minimum.","I want rigor; 3 per day, 400-level minimum.","I want rigor; 3 per day, 200-level minimum.",{course_level_minimum},"I want rigor; 1 per day, 200-level minimum.",{number_of_classes};{course_level_minimum},"I want rigor; 1 per day, 200-level minimum.","I want rigor; 2 per day, 200-level minimum.",{number_of_classes},"I want rigor; 3 per day, 400-level minimum.",{number_of_classes};{course_level_minimum},36
Limit the plan to {days} and target the {time_of_day}.,Limit the plan to Tuesday and Wednesday and target the afternoon.,Limit the plan to Tuesday and Wednesday and target the evening.,{time_of_day},Limit the plan to Friday and target the evening.,{time_of_day};{days},Limit the plan to Tuesday and Wednesday and target the morning.,Limit the plan to Tuesday and Wednesday and target the evening.,{time_of_day},Limit the plan to Wednesday and Friday and target the evening.,{days};{time_of_day},37
"Only {days}, and never exceed {number_of_classes} classes in a day.","Only Thursday, and never exceed 2 classes in a day.","Only Tuesday and Wednesday, and never exceed 2 classes in a day.",{days},"Only Wednesday and Thursday, and never exceed 3 classes in a day.",{number_of_classes};{days},"Only Friday, and never exceed 3 classes in a day.","Only Monday, and never exceed 3 classes in a day.",{days},"Only Wednesday and Friday, and never exceed 2 classes in a day.",{days};{number_of_classes},38
Use {days} exclusively and respect a {course_level_minimum}-level minimum.,Use Tuesday exclusively and respect a 400-level minimum.,Use Friday exclusively and respect a 400-level minimum.,{days},Use Monday and Friday exclusively and respect a 300-level minimum.,{course_level_minimum};{days},Use Tuesday and Friday exclusively and respect a 300-level minimum.,Use Tuesday and Thursday exclusively and respect a 300-level minimum.,{days},Use Tuesday exclusively and respect a 200-level minimum.,{course_level_minimum};{days},39
Use the {time_of_day} slot and keep it to {number_of_classes} classes per day.,Use the afternoon slot and keep it to 3 classes per day.,Use the morning slot and keep it to 3 classes per day.,{time_of_day},Use the evening slot and keep it to 2 classes per day.,{time_of_day};{number_of_classes},Use the morning slot and keep it to 1 classes per day.,Use the afternoon slot and keep it to 1 classes per day.,{time_of_day},Use the afternoon slot and keep it to 2 classes per day.,{time_of_day};{number_of_classes},40
I'm aiming high; {time_of_day} classes that are {course_level_minimum}-level or above.,I'm aiming high; evening classes that are 400-level or above.,I'm aiming high; morning classes that are 400-level or above.,{time_of_day},I'm aiming high; afternoon classes that are 200-level or above.,{time_of_day};{course_level_minimum},I'm aiming high; afternoon classes that are 300-level or above.,I'm aiming high; afternoon classes that are 400-level or above.,{course_level_minimum},I'm aiming high; morning classes that are 200-level or above.,{course_level_minimum};{time_of_day},41
"Daily cap {number_of_classes}, with courses at or above {course_level_minimum}-level.","Daily cap 1, with courses at or above 200-level.","Daily cap 3, with courses at or above 200-level.",{number_of_classes},"Daily cap 3, with courses at or above 400-level.",{number_of_classes};{course_level_minimum},"Daily cap 1, with courses at or above 200-level.","Daily cap 2, with courses at or above 200-level.",{number_of_classes},"Daily cap 3, with courses at or above 300-level.",{number_of_classes};{course_level_minimum},42
Work shifts block everything else; just {days} and the {time_of_day}.,Work shifts block everything else; just Thursday and the evening.,Work shifts block everything else; just Monday and Friday and the evening.,{days},Work shifts block everything else; just Wednesday and Thursday and the afternoon.,{time_of_day};{days},Work shifts block everything else; just Tuesday and the afternoon.,Work shifts block everything else; just Thursday and the afternoon.,{days},Work shifts block everything else; just Monday and Friday and the morning.,{days};{time_of_day},43
Keep my calendar to {days} with a daily maximum of {number_of_classes} classes.,Keep my calendar to Monday and Thursday with a daily maximum of 2 classes.,Keep my calendar to Thursday with a daily maximum of 2 classes.,{days},Keep my calendar to Tuesday and Wednesday with a daily maximum of 3 classes.,{number_of_classes};{days},Keep my calendar to Wednesday and Friday with a daily maximum of 3 classes.,Keep my calendar to Tuesday with a daily maximum of 3 classes.,{days},Keep my calendar to Tuesday with a daily maximum of 1 classes.,{number_of_classes};{days},44
"On {days} only, with courses no lower than {course_level_minimum}-level.","On Tuesday and Wednesday only, with courses no lower than 400-level.","On Tuesday only, with courses no lower than 400-level.",{days},"On Monday and Thursday only, with courses no lower than 200-level.",{days};{course_level_minimum},"On Wednesday and Thursday only, with courses no lower than 300-level.","On Tuesday and Friday only, with courses no lower than 300-level.",{days},"On Wednesday and Friday only, with courses no lower than 200-level.",{course_level_minimum};{days},45
Please keep it {time_of_day} with a daily limit of {number_of_classes}.,Please keep it morning with a daily limit of 3.,Please keep it morning with a daily limit of 2.,{number_of_classes},Please keep it afternoon with a daily limit of 2.,{number_of_classes};{time_of_day},Please keep it evening with a daily limit of 1.,Please keep it evening with a daily limit of 2.,{number_of_classes},Please keep it afternoon with a daily limit of 3.,{time_of_day};{number_of_classes},46
Keep the timing {time_of_day} and enforce {course_level_minimum}-level minimum.,Keep the timing afternoon and enforce 200-level minimum.,Keep the timing morning and enforce 200-level minimum.,{time_of_day},Keep the timing morning and enforce 400-level minimum.,{course_level_minimum};{time_of_day},Keep the timing afternoon and enforce 200-level minimum.,Keep the timing morning and enforce 200-level minimum.,{time_of_day},Keep the timing morning and enforce 400-level minimum.,{time_of_day};{course_level_minimum},47
Set the daily limit to {number_of_classes} and filter for  {course_level_minimum}-level.,Set the daily limit to 2 and filter for  300-level.,Set the daily limit to 1 and filter for  300-level.,{number_of_classes},Set the daily limit to 3 and filter for  400-level.,{number_of_classes};{course_level_minimum},Set the daily limit to 2 and filter for  400-level.,Set the daily limit to 2 and filter for  200-level.,{course_level_minimum},Set the daily limit to 3 and filter for  200-level.,{number_of_classes};{course_level_minimum},48
"I coach on weekends, so please keep my classes on {days} and aim for the {time_of_day}.","I coach on weekends, so please keep my classes on Wednesday and aim for the evening.","I coach on weekends, so please keep my classes on Wednesday and aim for the afternoon.",{time_of_day},"I coach on weekends, so please keep my classes on Tuesday and Wednesday and aim for the afternoon.",{days};{time_of_day},"I coach on weekends, so please keep my classes on Monday and Thursday and aim for the morning.","I coach on weekends, so please keep my classes on Monday and aim for the morning.",{days},"I coach on weekends, so please keep my classes on Tuesday and Thursday and aim for the afternoon.",{time_of_day};{days},49
I'm rebuilding my routine; keep me on {days} with at most {number_of_classes} classes per day.,I'm rebuilding my routine; keep me on Wednesday and Thursday with at most 1 classes per day.,I'm rebuilding my routine; keep me on Wednesday and Thursday with at most 3 classes per day.,{number_of_classes},I'm rebuilding my routine; keep me on Thursday with at most 3 classes per day.,{days};{number_of_classes},I'm rebuilding my routine; keep me on Monday and Friday with at most 3 classes per day.,I'm rebuilding my routine; keep me on Monday and Friday with at most 1 classes per day.,{number_of_classes},I'm rebuilding my routine; keep me on Tuesday and Wednesday with at most 1 classes per day.,{days};{number_of_classes},50
"I'm balancing work and campus life; keep me on {days} in the {time_of_day}, no more than {number_of_classes} classes per day, and only {course_level_minimum}-level or above.","I'm balancing work and campus life; keep me on Tuesday in the afternoon, no more than 3 classes per day, and only 200-level or above.","I'm balancing work and campus life; keep me on Tuesday in the morning, no more than 3 classes per day, and only 200-level or above.",{time_of_day},"I'm balancing work and campus life; keep me on Tuesday and Thursday in the afternoon, no more than 1 classes per day, and only 200-level or above.",{number_of_classes};{days},"I'm balancing work and campus life; keep me on Friday in the morning, no more than 2 classes per day, and only 300-level or above.","I'm balancing work and campus life; keep me on Tuesday and Friday in the morning, no more than 2 classes per day, and only 300-level or above.",{days},"I'm balancing work and campus life; keep me on Friday in the afternoon, no more than 1 classes per day, and only 300-level or above.",{time_of_day};{number_of_classes},51
"To stay consistent, schedule classes on {days} during the {time_of_day}; cap at {number_of_classes} daily and enforce a {course_level_minimum}-level minimum.","To stay consistent, schedule classes on Tuesday and Wednesday during the afternoon; cap at 3 daily and enforce a 400-level minimum.","To stay consistent, schedule classes on Monday during the afternoon; cap at 3 daily and enforce a 400-level minimum.",{days},"To stay consistent, schedule classes on Monday and Wednesday during the afternoon; cap at 3 daily and enforce a 300-level minimum.",{days};{course_level_minimum},"To stay consistent, schedule classes on Wednesday during the morning; cap at 3 daily and enforce a 200-level minimum.","To stay consistent, schedule classes on Wednesday during the morning; cap at 2 daily and enforce a 200-level minimum.",{number_of_classes},"To stay consistent, schedule classes on Wednesday during the evening; cap at 1 daily and enforce a 200-level minimum.",{time_of_day};{number_of_classes},52
"Please arrange my term on {days} in the {time_of_day}, with  {number_of_classes} classes per day and courses  {course_level_minimum}-level.","Please arrange my term on Wednesday and Friday in the evening, with  1 classes per day and courses  200-level.","Please arrange my term on Wednesday and Friday in the evening, with  1 classes per day and courses  400-level.",{course_level_minimum},"Please arrange my term on Wednesday and Friday in the evening, with  3 classes per day and courses  300-level.",{number_of_classes};{course_level_minimum},"Please arrange my term on Wednesday and Thursday in the morning, with  1 classes per day and courses  400-level.","Please arrange my term on Wednesday and Thursday in the afternoon, with  1 classes per day and courses  400-level.",{time_of_day},"Please arrange my term on Wednesday and Thursday in the evening, with  3 classes per day and courses  400-level.",{time_of_day};{number_of_classes},53
"I commute from far away; use {days} in the {time_of_day}, keep daily classes to {number_of_classes}, and stick to {course_level_minimum}-level or higher.","I commute from far away; use Monday and Friday in the evening, keep daily classes to 1, and stick to 200-level or higher.","I commute from far away; use Friday in the evening, keep daily classes to 1, and stick to 200-level or higher.",{days},"I commute from far away; use Wednesday in the afternoon, keep daily classes to 1, and stick to 200-level or higher.",{days};{time_of_day},"I commute from far away; use Wednesday and Thursday in the afternoon, keep daily classes to 3, and stick to 200-level or higher.","I commute from far away; use Monday and Friday in the afternoon, keep daily classes to 3, and stick to 200-level or higher.",{days},"I commute from far away; use Wednesday and Thursday in the afternoon, keep daily classes to 2, and stick to 400-level or higher.",{course_level_minimum};{number_of_classes},54
Set me up on {days} at the {time_of_day}; limit daily load to {number_of_classes} and ensure all courses meet the {course_level_minimum}-level minimum.,Set me up on Monday at the afternoon; limit daily load to 2 and ensure all courses meet the 200-level minimum.,Set me up on Monday at the afternoon; limit daily load to 2 and ensure all courses meet the 300-level minimum.,{course_level_minimum},Set me up on Monday and Thursday at the afternoon; limit daily load to 1 and ensure all courses meet the 200-level minimum.,{days};{number_of_classes},Set me up on Tuesday at the afternoon; limit daily load to 2 and ensure all courses meet the 200-level minimum.,Set me up on Tuesday at the afternoon; limit daily load to 3 and ensure all courses meet the 200-level minimum.,{number_of_classes},Set me up on Tuesday and Thursday at the evening; limit daily load to 2 and ensure all courses meet the 200-level minimum.,{time_of_day};{days},55
"I'm optimizing energy; {days}, {time_of_day}, at most {number_of_classes} per day, and nothing below {course_level_minimum}-level.","I'm optimizing energy; Tuesday, morning, at most 3 per day, and nothing below 400-level.","I'm optimizing energy; Tuesday, morning, at most 3 per day, and nothing below 200-level.",{course_level_minimum},"I'm optimizing energy; Tuesday, evening, at most 3 per day, and nothing below 300-level.",{course_level_minimum};{time_of_day},"I'm optimizing energy; Wednesday, evening, at most 3 per day, and nothing below 200-level.","I'm optimizing energy; Wednesday, evening, at most 1 per day, and nothing below 200-level.",{number_of_classes},"I'm optimizing energy; Wednesday, morning, at most 3 per day, and nothing below 400-level.",{course_level_minimum};{time_of_day},56
"Please schedule on {days} in the {time_of_day}, with a daily cap of {number_of_classes} and a {course_level_minimum}-level threshold.","Please schedule on Wednesday and Thursday in the evening, with a daily cap of 2 and a 300-level threshold.","Please schedule on Wednesday and Thursday in the afternoon, with a daily cap of 2 and a 300-level threshold.",{time_of_day},"Please schedule on Monday and Thursday in the afternoon, with a daily cap of 2 and a 300-level threshold.",{time_of_day};{days},"Please schedule on Thursday in the morning, with a daily cap of 2 and a 200-level threshold.","Please schedule on Wednesday and Thursday in the morning, with a daily cap of 2 and a 200-level threshold.",{days},"Please schedule on Tuesday and Wednesday in the morning, with a daily cap of 3 and a 200-level threshold.",{number_of_classes};{days},57
Use {days} and the {time_of_day}; keep it to {number_of_classes} classes per day and filter for  {course_level_minimum}-level.,Use Wednesday and Thursday and the afternoon; keep it to 3 classes per day and filter for  300-level.,Use Wednesday and Thursday and the afternoon; keep it to 1 classes per day and filter for  300-level.,{number_of_classes},Use Friday and the evening; keep it to 3 classes per day and filter for  300-level.,{time_of_day};{days},Use Friday and the afternoon; keep it to 3 classes per day and filter for  300-level.,Use Friday and the evening; keep it to 3 classes per day and filter for  300-level.,{time_of_day},Use Monday and Thursday and the afternoon; keep it to 3 classes per day and filter for  200-level.,{days};{course_level_minimum},58
